last_name,race
Elowitz,white
Gorodetzky,white
Natta,white
Cohler,white
Lankester,white
Howery,white
Nosek,white
LeFrance,white
Moshkoviz,white
Kavod,white
Tora,white
Brott,white
Bernstam,white
Kuch,white
Sull,white
Tapin,white
Zanjani,white
Zennström,white
LaTrasse,white
Gulik,white
Masonis,white
Thione,white
Jalichandra,hispanic
Calacanis,white
Abair,white
Dagres,white
Garrick,white
Cetinsoy,white
Venute,white
echevarria,hispanic
Legwinski,white
Hangartner,white
Andreessen,white
Witchel,white
Denend,white
Giedgowd,white
Hadsell,white
Kishioka,api
Haot,white
Hunstable,white
Iskold,white
Nakaya,api
Samid,white
Yoshizawa,api
Skrenta,white
Scheibach,white
Maloux,white
Odvarko,white
Vikati,white
Komisar,white
SanGiovanni,white
Bederson,white
Spodek,white
Dhatt,api
Moatz,white
Cinader,white
Shesgreen,white
Shechter,white
Nerst,white
Guedalia,hispanic
Colwill,white
Lieu,api
Edelstyn,white
Breece,white
Boltuch,white
Vosmeijer,white
Betist,white
Glascott,white
Zingarelli,white
Nieker,white
Kurnit,white
Allis,white
Chandratillake,white
Scheybeler,white
Blystone,white
Cancel,hispanic
Meattle,white
Donaker,white
Engestrom,white
Latko,white
Rogoway,white
Broekhof,white
Sman,white
Veldhuijzen,white
Andreo,white
Bartot,white
Fridgen,white
Farsje,white
Stiksel,white
Vucic,white
Zabir,white
Canida,white
Nieh,api
Chaddha,api
Ruarte,hispanic
Cicogna,white
Sladek,white
Zdanowski,white
Ebinger,white
Kokkinen,white
Costolo,white
Klau,white
Pfohl,white
Keckeisen,white
Antinori,white
Harinarayan,white
Nanez,hispanic
Vars,white
Rafer,white
Packowski,white
Lucanegro,hispanic
Zapruder,white
Feuille,white
Moross,white
Kulick,white
Maghsoodnia,white
Popal,white
Weekly,white
Weck,white
Harow,white
Arbuz,hispanic
Vanhulle,white
Wherry,white
Visage,white
Sordello,white
Applbaum,white
Avida,hispanic
Dikman,white
Sackowitz,white
Roelants,white
Hairon,white
Ottenwaelter,white
Stilp,white
Budos,white
Akeroyd,white
Kosloski,white
Tucher,white
Katwala,white
Bodnick,white
Palande,hispanic
Senkut,white
Queisser,white
Ghods,white
Bilczyk,white
Grouf,white
Fehrenbacher,white
Gannes,white
Zelenka,white
Gunderloy,white
Roettgers,white
Kirchen,white
Koblas,white
Seilheimer,white
Breidigan,white
Sammon,white
Karamanlakis,white
Tsatalos,hispanic
Freidenrich,white
Sadaranganey,white
Whitcraft,white
Sheinfield,white
Lehavi,white
Handschiegel,white
Mhadolkar,white
Lermusi,white
