object_id,black,hispanic,white,asian
c:1,0.0,0.0,0.94,0.06
c:10,0.0,0.0,1.0,0.0
c:100,0.0,0.08,0.92,0.0
c:10002,0.0,0.0,0.5,0.5
c:100042,0.0,0.0,1.0,0.0
c:10005,0.0,0.0,1.0,0.0
c:100062,0.0,0.0,1.0,0.0
c:10009,0.0,0.0,1.0,0.0
c:1001,0.0,0.0,0.73,0.27
c:10010,0.0,0.0,1.0,0.0
c:10011,0.0,0.33,0.67,0.0
c:10012,0.0,0.0,1.0,0.0
c:10013,0.0,0.0,1.0,0.0
c:10014,0.0,0.0,0.44,0.56
c:10015,0.0,0.0,0.79,0.21
c:100155,0.0,0.0,1.0,0.0
c:100174,0.0,0.0,1.0,0.0
c:100178,0.0,0.0,0.5,0.5
c:10018,0.05,0.0,0.95,0.0
c:100189,0.0,0.0,1.0,0.0
c:10021,0.0,0.0,1.0,0.0
c:100212,0.0,0.0,1.0,0.0
c:10022,0.0,0.0,1.0,0.0
c:100230,0.0,0.0,1.0,0.0
c:100238,0.0,0.0,1.0,0.0
c:10024,0.0,0.0,1.0,0.0
c:100243,0.0,0.0,1.0,0.0
c:100253,0.0,0.0,1.0,0.0
c:10026,0.0,0.0,1.0,0.0
c:100265,0.0,0.0,1.0,0.0
c:10027,0.0,0.0,0.0,1.0
c:100271,0.0,0.0,0.83,0.17
c:1003,0.0,0.0,0.57,0.43
c:100331,0.0,0.0,1.0,0.0
c:10034,0.0,0.5,0.0,0.5
c:10037,0.0,0.0,0.0,1.0
c:100379,0.0,0.0,0.89,0.11
c:10039,0.0,0.0,1.0,0.0
c:1004,0.0,0.0,1.0,0.0
c:10040,0.0,0.0,1.0,0.0
c:10042,0.0,0.0,1.0,0.0
c:10044,0.0,0.0,1.0,0.0
c:100442,0.0,0.0,0.0,1.0
c:10048,0.0,0.0,1.0,0.0
c:10049,0.0,0.0,1.0,0.0
c:10053,0.0,0.0,1.0,0.0
c:10054,0.0,0.05,0.91,0.05
c:10057,0.0,0.0,1.0,0.0
c:10059,0.0,0.0,1.0,0.0
c:1006,0.0,0.0,0.5,0.5
c:10060,0.0,0.0,1.0,0.0
c:100607,0.0,0.0,1.0,0.0
c:10062,0.0,0.0,1.0,0.0
c:10065,0.06,0.0,0.89,0.06
c:10066,0.0,0.2,0.4,0.4
c:10067,0.0,0.0,0.0,1.0
c:10069,0.0,0.04,0.75,0.21
c:1007,0.0,0.0,1.0,0.0
c:10071,0.0,0.0,0.9,0.1
c:100716,0.0,0.0,1.0,0.0
c:100719,0.0,0.0,0.5,0.5
c:10073,0.0,0.0,1.0,0.0
c:100742,0.0,0.0,1.0,0.0
c:10075,0.0,0.0,1.0,0.0
c:10076,0.0,0.2,0.8,0.0
c:100777,0.0,0.0,1.0,0.0
c:10078,0.0,0.0,1.0,0.0
c:1008,0.0,0.0,1.0,0.0
c:10081,0.0,0.0,1.0,0.0
c:100814,0.0,0.0,1.0,0.0
c:10082,0.0,0.0,1.0,0.0
c:10083,0.0,0.0,1.0,0.0
c:10084,0.0,0.0,1.0,0.0
c:100841,0.0,0.0,1.0,0.0
c:100842,0.0,0.0,1.0,0.0
c:100844,0.0,0.0,1.0,0.0
c:10085,0.0,0.02,0.91,0.07
c:10087,0.0,0.0,1.0,0.0
c:100873,0.0,0.0,1.0,0.0
c:10089,0.0,0.0,1.0,0.0
c:100898,0.0,0.0,1.0,0.0
c:10091,0.0,0.0,0.5,0.5
c:100915,0.0,0.0,1.0,0.0
c:10092,0.0,0.0,1.0,0.0
c:100926,0.0,0.0,1.0,0.0
c:100938,0.0,0.0,1.0,0.0
c:10094,0.0,0.0,1.0,0.0
c:10095,0.0,0.0,1.0,0.0
c:100968,0.0,0.0,1.0,0.0
c:10097,0.0,0.0,0.5,0.5
c:10098,0.0,0.0,1.0,0.0
c:101,0.0,0.0,1.0,0.0
c:1010,0.0,0.0,1.0,0.0
c:10104,0.0,0.5,0.5,0.0
c:10105,0.0,0.33,0.67,0.0
c:101052,0.0,0.0,1.0,0.0
c:10106,0.0,0.01,0.94,0.05
c:10109,0.0,0.12,0.62,0.25
c:101094,0.0,0.25,0.75,0.0
c:101102,0.0,0.0,1.0,0.0
c:10111,0.0,0.0,0.25,0.75
c:10114,0.0,0.0,1.0,0.0
c:101149,0.0,1.0,0.0,0.0
c:10116,0.0,0.0,0.67,0.33
c:10117,0.0,0.0,1.0,0.0
c:10118,0.0,0.0,1.0,0.0
c:10119,0.05,0.05,0.82,0.09
c:10120,0.0,0.0,1.0,0.0
c:101201,0.0,0.0,0.5,0.5
c:10122,0.0,0.0,1.0,0.0
c:10123,0.0,0.0,1.0,0.0
c:10125,0.0,0.0,1.0,0.0
c:101269,0.0,0.0,1.0,0.0
c:10127,0.0,0.5,0.5,0.0
c:101271,0.0,0.0,1.0,0.0
c:10128,0.0,0.0,1.0,0.0
c:10129,0.0,0.5,0.5,0.0
c:10131,0.0,0.0,0.91,0.09
c:101312,0.0,0.0,0.86,0.14
c:101317,0.0,0.0,0.89,0.11
c:10132,0.0,0.0,1.0,0.0
c:101324,0.0,0.5,0.0,0.5
c:10133,0.0,0.0,1.0,0.0
c:101335,0.0,0.0,1.0,0.0
c:10134,0.0,0.0,0.0,1.0
c:101340,0.0,0.0,0.5,0.5
c:101349,0.0,0.0,1.0,0.0
c:10137,0.0,0.08,0.83,0.08
c:101381,0.0,0.0,0.0,1.0
c:10139,0.0,0.0,1.0,0.0
c:101392,0.0,0.0,1.0,0.0
c:101393,0.0,0.0,1.0,0.0
c:101394,0.0,0.0,1.0,0.0
c:101395,0.0,0.0,1.0,0.0
c:1014,0.0,0.0,1.0,0.0
c:10142,0.0,0.0,1.0,0.0
c:101431,0.0,0.06,0.94,0.0
c:101436,0.0,0.0,1.0,0.0
c:101448,0.0,0.0,0.0,1.0
c:10145,0.0,0.0,0.75,0.25
c:10146,0.0,0.0,1.0,0.0
c:101463,0.25,0.0,0.75,0.0
c:10147,0.0,0.0,1.0,0.0
c:10148,0.0,0.0,1.0,0.0
c:101489,0.0,0.0,1.0,0.0
c:10149,0.0,0.0,1.0,0.0
c:101496,0.0,0.0,1.0,0.0
c:10150,0.0,0.0,1.0,0.0
c:101503,0.0,0.0,1.0,0.0
c:101511,0.0,0.0,1.0,0.0
c:101519,0.0,0.0,1.0,0.0
c:10152,0.0,0.0,1.0,0.0
c:101527,0.0,0.0,1.0,0.0
c:10153,0.0,0.0,1.0,0.0
c:101530,0.0,0.0,1.0,0.0
c:10154,0.0,1.0,0.0,0.0
c:10155,0.0,0.0,0.33,0.67
c:101555,0.0,0.0,1.0,0.0
c:101560,0.0,0.0,1.0,0.0
c:101572,0.0,0.0,0.33,0.67
c:10158,0.0,0.0,1.0,0.0
c:10159,0.0,0.0,1.0,0.0
c:10161,0.0,0.0,1.0,0.0
c:10163,0.0,0.0,1.0,0.0
c:10164,0.0,0.0,1.0,0.0
c:101643,0.0,0.0,1.0,0.0
c:10165,0.0,0.0,1.0,0.0
c:10166,0.04,0.04,0.85,0.07
c:10167,0.0,0.0,0.5,0.5
c:101679,0.0,0.0,1.0,0.0
c:1017,0.0,0.0,1.0,0.0
c:10170,0.0,0.14,0.71,0.14
c:10174,0.0,0.0,1.0,0.0
c:10175,0.0,0.0,1.0,0.0
c:101759,0.0,0.0,1.0,0.0
c:10176,0.0,0.0,0.87,0.13
c:101779,0.0,0.0,0.0,1.0
c:10178,0.0,0.0,1.0,0.0
c:10179,0.0,0.0,0.93,0.07
c:101797,0.0,0.0,1.0,0.0
c:1018,0.0,0.0,1.0,0.0
c:10180,0.0,0.0,0.5,0.5
c:101810,0.0,0.0,0.17,0.83
c:10183,0.0,0.0,1.0,0.0
c:101830,0.0,0.0,1.0,0.0
c:101837,0.0,0.0,1.0,0.0
c:10185,0.0,0.0,1.0,0.0
c:101859,0.0,0.0,1.0,0.0
c:10188,0.0,0.0,1.0,0.0
c:101880,0.0,0.0,1.0,0.0
c:101882,0.0,0.0,1.0,0.0
c:10189,0.0,0.0,1.0,0.0
c:101893,0.0,0.0,1.0,0.0
c:1019,0.02,0.3,0.6,0.09
c:101903,0.0,0.0,1.0,0.0
c:101908,0.0,0.0,1.0,0.0
c:101909,0.0,0.0,1.0,0.0
c:10191,0.0,0.0,0.89,0.11
c:101910,0.0,0.0,1.0,0.0
c:101916,0.0,0.0,1.0,0.0
c:10192,0.0,0.0,1.0,0.0
c:101927,0.0,0.0,1.0,0.0
c:101938,0.0,0.5,0.5,0.0
c:10194,0.0,0.0,1.0,0.0
c:101944,0.0,0.0,0.75,0.25
c:101947,0.0,0.0,1.0,0.0
c:10195,0.0,0.0,0.67,0.33
c:101955,0.0,0.0,1.0,0.0
c:10196,0.0,0.0,1.0,0.0
c:10197,0.0,0.0,1.0,0.0
c:101973,0.0,0.0,1.0,0.0
c:10199,0.0,0.0,1.0,0.0
c:1020,0.0,0.0,1.0,0.0
c:10200,0.0,0.0,1.0,0.0
c:102006,0.0,0.0,1.0,0.0
c:10202,0.0,0.0,1.0,0.0
c:10203,0.0,0.0,1.0,0.0
c:10204,0.0,0.0,1.0,0.0
c:102044,0.0,0.0,1.0,0.0
c:102045,0.0,0.0,0.0,1.0
c:102046,0.0,0.0,0.0,1.0
c:10205,0.0,0.0,1.0,0.0
c:102057,0.0,0.0,1.0,0.0
c:102068,0.0,0.0,1.0,0.0
c:102082,0.0,0.0,1.0,0.0
c:10209,0.0,0.0,1.0,0.0
c:102098,0.0,0.0,1.0,0.0
c:1021,0.0,0.0,1.0,0.0
c:102110,0.0,0.25,0.75,0.0
c:102134,0.0,0.0,1.0,0.0
c:10214,0.0,0.0,1.0,0.0
c:102140,0.0,0.0,1.0,0.0
c:10215,0.0,0.0,1.0,0.0
c:102156,0.0,0.0,1.0,0.0
c:10216,0.0,0.0,1.0,0.0
c:102181,0.0,0.0,1.0,0.0
c:102184,0.0,1.0,0.0,0.0
c:102188,0.0,0.0,1.0,0.0
c:102196,0.0,0.0,1.0,0.0
c:1022,0.0,0.0,0.0,1.0
c:10220,0.0,0.0,1.0,0.0
c:102201,0.0,0.0,1.0,0.0
c:10221,0.0,0.0,1.0,0.0
c:10222,0.0,0.0,0.72,0.28
c:10224,0.0,0.0,1.0,0.0
c:10226,0.0,0.0,1.0,0.0
c:10227,0.0,0.5,0.0,0.5
c:10228,0.0,0.0,0.0,1.0
c:102286,0.0,1.0,0.0,0.0
c:10229,0.0,0.0,1.0,0.0
c:102294,0.0,0.0,1.0,0.0
c:102295,0.09,0.09,0.82,0.0
c:102299,0.0,0.0,0.5,0.5
c:102300,0.0,0.0,0.67,0.33
c:10232,0.02,0.07,0.86,0.05
c:10238,0.0,0.0,1.0,0.0
c:102396,0.0,0.0,1.0,0.0
c:1024,0.0,1.0,0.0,0.0
c:10240,0.0,0.0,1.0,0.0
c:10241,0.0,0.0,1.0,0.0
c:102413,0.0,0.0,1.0,0.0
c:102425,0.0,0.0,1.0,0.0
c:10243,0.0,0.5,0.0,0.5
c:102447,0.0,0.0,1.0,0.0
c:102449,0.0,0.0,0.87,0.13
c:10246,0.0,0.0,0.5,0.5
c:102468,0.0,0.0,1.0,0.0
c:10247,0.0,0.0,1.0,0.0
c:10249,0.0,0.0,0.5,0.5
c:102491,1.0,0.0,0.0,0.0
c:102497,0.0,0.0,1.0,0.0
c:1025,0.0,0.0,1.0,0.0
c:10251,0.0,0.25,0.75,0.0
c:10252,0.0,0.0,0.67,0.33
c:102527,0.0,0.0,0.0,1.0
c:10253,0.0,0.0,1.0,0.0
c:10256,0.0,0.0,1.0,0.0
c:102575,0.0,0.0,1.0,0.0
c:102577,0.0,0.0,1.0,0.0
c:1026,0.0,0.0,1.0,0.0
c:10260,0.0,0.0,1.0,0.0
c:10261,0.0,0.0,1.0,0.0
c:10262,0.0,0.0,1.0,0.0
c:102625,0.0,0.0,1.0,0.0
c:10263,0.0,0.11,0.67,0.22
c:102639,0.0,0.0,1.0,0.0
c:10264,0.0,0.0,0.33,0.67
c:102652,0.0,1.0,0.0,0.0
c:102663,0.0,0.0,1.0,0.0
c:1027,0.0,0.0,0.62,0.38
c:10270,0.0,0.0,1.0,0.0
c:102700,0.0,0.0,1.0,0.0
c:10271,0.17,0.0,0.83,0.0
c:102711,0.0,0.0,1.0,0.0
c:102713,0.0,0.0,1.0,0.0
c:10272,0.0,0.0,0.93,0.07
c:10273,0.0,0.0,0.75,0.25
c:10274,0.0,0.0,1.0,0.0
c:102740,0.0,0.0,1.0,0.0
c:102741,0.0,0.0,1.0,0.0
c:10275,0.0,0.0,1.0,0.0
c:10276,0.0,0.0,1.0,0.0
c:102767,0.0,0.0,1.0,0.0
c:10277,0.0,0.0,1.0,0.0
c:102774,0.0,0.0,1.0,0.0
c:10278,0.0,0.0,0.0,1.0
c:102783,0.0,0.0,1.0,0.0
c:1028,1.0,0.0,0.0,0.0
c:10280,0.0,0.02,0.87,0.11
c:102804,0.0,0.0,1.0,0.0
c:10281,0.0,0.0,0.75,0.25
c:102811,0.0,0.0,1.0,0.0
c:102836,0.0,0.0,1.0,0.0
c:102849,0.0,0.0,1.0,0.0
c:10286,0.0,0.0,1.0,0.0
c:102860,0.0,0.0,1.0,0.0
c:102867,0.0,0.56,0.44,0.0
c:10287,0.0,0.67,0.33,0.0
c:102878,0.0,0.5,0.5,0.0
c:10289,0.0,0.5,0.5,0.0
c:102898,0.0,0.0,1.0,0.0
c:10290,0.0,1.0,0.0,0.0
c:102904,0.0,1.0,0.0,0.0
c:102905,0.0,1.0,0.0,0.0
c:102906,0.0,0.33,0.67,0.0
c:102908,0.0,0.0,1.0,0.0
c:10291,0.0,0.0,1.0,0.0
c:102911,0.0,0.0,1.0,0.0
